Actors,Movies in the top 250
Anne Baxter,1
Amiée Conn,1
Amy Poehler,1
Andie MacDowell,1
Andrea Eckert,1
Andrew Garfield,1
Andrew Kevin Walker,1
Angie Dickinson,1
Anil Kapoor,1
Annette Bening,1
Barbara Stanwyck,1
Ansel Elgort,1
Anthony Hopkins,1
Anthony Perkins,1
Anthony Ramirez,1
Arnold Lucy,1
Arthur O'Connell,1
Audrey Hepburn,1
Barbara Bel Geddes,1
America Ferrera,1
Amanda Plummer,1
Alonzo Brown,1
Alison Doody,1
Adam Baldwin,1
Adam Driver,1
Adolphe Menjou,1
Agnes Moorehead,1
Ahney Her,1
Al Ernest Garcia,1
Alan Howard,1
Alan Rickman,1
Albert Brooks,1
Albert Finney,1
Alec Cawthorne,1
Alexander Gould,1
Alexandra Maria Lara,1
Alexis Bledel,1
Ali Astin,1
Alida Valli,1
Alison Crosbie,1
Barbara O'Neil,1
Barry Humphries,1
Cathy Moriarty,1
Buster Keaton,1
Brendan Gleeson,1
Bruce Allpress,1
Bruce Bennett,1
Bryan Batt,1
Bryce Dallas Howard,1
Burl Ives,1
Burt Lancaster,1
Burt Young,1
Candice Bergen,1
Barry Pepper,1
Carl Miller,1
Carl Weathers,1
Carol Kane,1
Caroline Goodall,1
Carrie Henn,1
Cary Elwes,1
Cary-Hiroyuki Tagawa,1
Catherine O'Hara,1
Boyd Holbrook,1
Bonnie Hunt,1
Bonnie Bedelia,1
Bob Peterson,1
Bee Vang,1
Ben Burtt,1
Ben Gazzara,1
Ben Johnson,1
Benedict Cumberbatch,1
Bernhard Wicki,1
Bert Lahr,1
Beulah Garrick,1
Beverly D'Angelo,1
Bill Hader,1
Bill Murray,1
Bill Nunn,1
Billy Bob Thornton,1
Billy Crudup,1
Billy Crystal,1
Bob Geldof,1
Bob Gunton,1
Elijah Wood,1
Elissa Knight,1
Elizabeth Berridge,1
Jim Varney,1
Jesse Corti,1
Jesse White,1
Jessica Alba,1
Jessica Chastain,1
Jessica Lange,1
Jessie Royce Landis,1
Jim Cummings,1
Jim Farley,1
Joan Allen,1
John Carradine,1
Joan Crawford,1
Joan Cusack,1
Joan Fontaine,1
Joan Greenwood,1
Joaquin Phoenix,1
Jodie Foster,1
Joe Pantoliano,1
Joel Edgerton,1
Jerry O'Connell,1
Jenny Slate,1
Jennifer Morrison,1
Jennifer Lien,1
Jane Galloway Heitz,1
Jane Greer,1
Jane Wyman,1
Jared Leto,1
Jason Bateman,1
Jason Flemyng,1
Jason Statham,1
Javier Bardem,1
Jay C. Flippen,1
Jean Arthur,1
Jean Hagen,1
Jean Reno,1
Jean-Marc Barr,1
Jeff Daniels,1
Jeff Garlin,1
Jeff Goldblum,1
Jena Malone,1
John Bach,1
John Dall,1
Jamie Foxx,1
Joyce Carey,1
Jonathan Freeman,1
Jonny Lee Miller,1
Jordan Nagai,1
Joseph A. Carpenter,1
Joseph Calleia,1
Joseph Melito,1
Josh Brolin,1
Josh Charles,1
Judith Anderson,1
John Fiedler,1
Judy Garland,1
Julia Stiles,1
Julianne Moore,1
Kagiso Kuypers,1
Karan Soni,1
Karen Allen,1
Kasi Lemmons,1
Kate Winslet,1
Jonah Hill,1
Jon Voight,1
Jon Seda,1
Jon Hamm,1
John Gallagher Jr.,1
John Gavin,1
John Hurt,1
John Huston,1
John Lithgow,1
Abhishek Bharate,1
John Megna,1
John Mighton,1
John Ridgely,1
